,titles
576,I was told the gate was shut
577,the cabin crew were great
578,return flight was very cold
579,Crew was pretty average
580,certainly one of the worst
581,more cramped than I expected
582,ready with another ticket
583,Not worth the money
584,So much for British Airways
585,cramped seat with no lights
586,special meal not on either flight
587,I might fly them again
588,the crew that was so nice
589,my luggage arrived soaking wet
590,high level of service and friendliness
591,process was ridiculously slow
592,suitcase didn’t arrive
593,wanted to return a day early
594,asked me to keep my luggage down
595,first class experience
596,cancelled as we missed outgoing flight
597,service went from good to superb
598,trying to seat together
599,couple of very good flights
600,service on this flight was superb
601,Very nice experience
602,an old style business class experience
603,The legroom was terrible
604,seat was uncomfortable
605,comfort was very bad
606,expected a better level of attention to detail
607,an hour or so to drop off luggage
608,return flight extremely poor
609,should not have to pay water 
610,crew were very efficient
611,Overall a decent flight
612,Was very comfortable
613,a pretty good flight
614,the excellent cabin crew
615,check in my bag at the gate
616,British Airways customer review
617,was very disappointed
618,baggage is always last off
619,BA were way ahead of the competition
620,four rows away from my partner
621,nothing too much trouble
622,pleasant and professional
623,disappointing business class
624,customer service is horrible
625,Thanks to the crew
626,delayed for 5 hours
627,"impeccable, attentive and delightful"
628,staff were absolutely delightful
629,Perfect welcome
630,appears it was a window
631,worst business class trip
632,no longer getting compensated
633,found the crew very friendly
634,seats had been changed by BA
635,a very good overall service
636,the product is outdated
637,Flight was good
638,Not good for business
639,behind the competition
640,staff exceptionally friendly
641,personal space is so tight
642,arrived reasonably promptly
643,very professional and pleasant
644,a fantastic flight
645,onboard service was abysmal
646,both involuntarily downgraded
647,had to have a middle seat
648,food portions so meagre
649,Seats very uncomfortable
650,treat customers with care.
651,nothing has changed
652,best short haul flight
653,"Very, very mediocre"
654,The crew were excellent
655,Service on board was excellent
656,special meal was not available
657,my question never answered
658,the worst experience
659,Effectively a budget airline
660,such a poor product
661,a good product and service
662,missed my connecting flight
663,wouldn't allow change of dates
664,online website is very clear
665,No online check-in available
666,won't reimburse me
667,service is of good quality
668,effectively a low cost airline
669,a very pleasant flight
670,The most miserable rip off
671,planes are ancient
672,British Airways are a disgrace
673,crew on this flight amazing
674,Last long haul BA flight
675,business class is just coach class
676,out of date airplanes
677,twenty years out of date
678,Very disappointing service
679,canceled 3 hours before
680,no pre-dinner drinks served
681,the breakfast has improved
682,knowledgeable and nice agent
683,worth the price
684,this was a good flight
685,negligent in the extreme
686,"Much improved, well done"
687,crew were very friendly
688,pay BA to check the new bag
689,would be my last choice
690,is not worth the fare
691,IT systems went down
692,overall experience was terrible
693,an amazing experience
694,both felt a bit disappointed
695,cabin staff were fantastic
696,he made my experience
697,Online Check-in did not work
698,Reclaiming lost baggage was simple
699,don't care about customers
700,Quick and easy flight
701,an average experience
702,crew were extremely noisy
703,don't include drinks or snacks
704,extremely average flight
705,now struggle to see the value
706,British Airways customer review
707,reasonable flight
708,it's showing its age
709,Crew on this sector were good
710,Excellent short flight
711,a worn-out Boeing 777
712,business class seats were small
713,I decided no BA anymore
714,breakfast served was terrible
715,British Airways customer review
716,bothered by the adjacent toilets
717,they assigned me a middle seat
718,Worst long haul business class
719, a few more inches leg room
720,well turned out staff
721,extremely run down and shabby
722,offered me no compensation
723,Charging to choose seats
724,offered me half the money
725,had a great experience
726,Cramped uncomfortable seats
727,seats booked not given
728,seats have so little cushion
729,hand baggage only fare
730,dedicated and very professional
731,meal was restaurant quality
732,Bare bones service
733,Thank you British Airways
734,offer some additional comfort
735,my flight was canceled
736,British Airways customer review
737,I think they had overbooked
738,gave us some First Class goodies
739,the cabin was modern and clean
740,most uncomfortable plane
741,could not upgrade the flight
742,a total disappointment
743,last time flying with BA
744,I don’t like pasta
745,not going to receive refund
746,so much BA could do to improve
747,Fantastic first class service
748,I felt like a nuisance
749,Poor cabin staff attitude
750,crew were very friendly
751,would not recommend BA
752,lacked the wow factor
753,worst business class
754,First class was third rate
755,unimpressive amenities and service
756,not giving free food and drinks
757,wonderful cabin crew
758,I didn’t like either choice
759,a very enjoyable flight
760,transformation into an overpriced EasyJet
761,British Airways customer review
762,a very enjoyable flight
763,Premium Economy is a joke
764,gesture of professionalism
765,Not exactly best of British
766,miserable customer service
767,not offered any assistance
768,an excellent flight
769,Completely inadequate service
770,the staff were very helpful
771,service was below standard
772,space around the seat is cramped
773,forced me to check-in my suitcase
774,extremely nice and helpful 
775,wonderful crew
776,I’m sure it’s bad luck
777,plane seating is worn out
778,space is ridiculously narrow
779,not allowing me to add a bag
780,would not recommend
781,"plane was clean, but cold"
782,sufficient seat legroom
783,do not match expectations
784,operated by Air Belgium
785,ditch this non responsive airline
786,absolutely great
787,restored my faith in BA
788,I was disappointed
789,Good improvement
790,Flight was uneventful
791,Air conditioning problem
792,Service as expected for price
793,very smooth and professional
794,experience was bad
795,lost my clubs for 7 days
796,BA provides buy onboard
797,does not seem to get any better
798,cabin service was good
799,BA club world is a farce
800,BA lacks consistency
801,unbelievably rude and unhelpful
802,5 mins too late for me to check in
803,aircraft interior was old
804,crew was also very nice
805,crew was very friendly
806,won’t be flying again
807,seating is still hopeless
808,never fly British Airways again
809,seats were the biggest let down
810,BA sort this shambles out
811,experience is so lacklustre
812,dreadful seats by the toilet
813,do not serve free water
814,staff was professional
815,a surprisingly good flight
816,Staff very cheerful
817,This was a great flight
818,Left luggage on belt by mistake
819,staff were very efficient
820,experience is second rate
821,British Airways is a rip off
822,we demanded we keep it
823,overall job well done
824,finally a nice flight
825,crew make the journey smooth
826,Outstanding crew
827,never provide any assistance
828,legroom seemed very small
829,IFE was the size of my wallet
830,on the next flight tomorrow
831,the food is really poor
832,Really good crew
833,the quality becomes worse
834,thoroughly recommend it
835,no foil covering the food
836,choose another airline
837,asked if I would like any food
838,totally disappointed
839,improved on board experience
840,Really very good FA's
841,this time they were superb
842,the seats feel worn out
843,outstanding customer service
844, a very acceptable flight
845,pathetic compensation
846,let down by the ground services
847,Very happy with the service
848,charges to select Business Class seats
849,need to improve service levels
850,my flight was cancelled
851,a good experience with BA
852,pay again to pre-reserve seats
853,"overall, it’s a good option"
854,the flights were excellent
855,gone notably downhill
856,Couldn't care less I feel
857,staff was kind and helpful
858,buy-on-board a bug-bear
859,A delayed BA flight
860,On arrival no bags
861,an enjoyable experience
862,food and drink was pretty good
863,a decent enough flight
864,crew were helpful and generous
865,lounges in Heathrow are overcrowded
866,was nicely impressed
867,pole vault over passenger's legs
868,seats weren't wide enough
869,Seat was quite comfortable
870,Better service with Ryanair
871,gate staff should be better trained
872,crew welcoming and orderly
873,Wonderful service
874,would rather walk to Manchester
875,not sitting together
876,not provided any explanation
877,seats were uncomfortable
878,it's not extra leg room
879,had upgraded people in first
880,first and last experience
881,charged £65 to bring my bike back
882,queue for bag drop was massive
883,they did not care
884,always had a great experience
885,Disappointing experience
886,satisfied with all aspects
887,seat was below my expectation
888,return flight was faultless
889,not worth the name anymore
890,did not take responsibility
891,"Horrible, horrible service"
892,experience has deteriorated significantly
893,worlds away from what it used to be
894,last choice in future
895,unexpected problem with the systems
896,The airline isn’t bad
897,charge a large amount for choosing seats
898,aircraft lacked the legroom
899,an additional €476 for seat selection
900,no one to solve problems
901,everything was comfy enough
902,FAs went through the motions
903,screen with so few pixels
904,there was little to dislike
905,very good service indeed
906,flights to Vancouver abysmal
907,very pleasantly surprised
908,budget airlines can do better
909,little value for money
910,above-and-beyond service
911,expensive low cost airline
912,nearly three hours late
913,a hit-or-miss affair
914,Avios program is nearly worthless
915,unhelpful and unprofessional
916,There is not a hotline
917,7 hours later no luggage
918,such a poor quality product
919,they understand my frustration
920,a lovely flight
921,a la carte dining option
922,did not keep us updated
923,never fly with them again
924,this experience was a disgrace
925,IFE is a work of mystery
926,years have not been kind
927,British Airways customer review
928,75 minutes to get boarding card
929,generous hand luggage rules
930,Cabin crew were efficient
931,very poor cabin service
932,almost a low fare airline
933,shameful for BA management
934,close call to make connections
935,I had to buy a new return ticket
936,legroom was insufficient
937,service was quite prompt
938,pathetic cost cutting antics
939,had to pay for another flight
940,the service pleasant enough
941,full price to rebook
942,cabin crew friendly
943,I was pleasantly surprised
944,once again disappointed
945,Club World cabin very cramped
946,experience was totally acceptable
947,Terminal 5 was a big mass
948,An average experience
949,no accessory pack of eye shades
950,crew were excellent
951,bags cannot be fastened together
952,It was all handled very poorly
953,no real added value
954,bumped off flight
955,a solid performance
956,Worst BA flight ever!
957,one expects a degree of comfort
958,crew professional and friendly
959,this change is not acceptable
960,recent BA experience was positive
961,cheaper than competitors
962,among the most greedy airlines
963,the seat pitch is ridiculous
964,it’s become a last resort
965,"Unprofessional staff, uncomfortable seats"
966,started with a 2.5 hours delay
967,Boarding was chaotic
968,Not value for money
969,"nothing special, such a disappointment"
970,the worst flight I have ever had
971,service was outstanding
972,My bag was damaged
973,Efficient staff
974,complete waste of money
975,well below BA's competitors
976,additional payment to select seats
977,"outdated, unclean and uncomfortable"
978,the utmost courtesy and assistance
979,pleasantly surprised to be upgraded
980,crew very friendly and professional
981,entertainment was not working
982,staff try so very hard to please
983,extremely unprofessional
984,manager is very professional
985,regret choosing BA
986,an entirely reasonable flight
987,cleanliness hit rock bottom
988,one of the most pleasurable flights
989,gratitude and appreciation
990,I had to ask where is my food
991,you are facing a stranger
992,service was really good
993,not much structure to service
994,served the worst food
995,cabin staff were almost robotic
996,no one to escort you to the seat
997,service is very attentive and polite
998,turned into a low cost airline
999,"Worn seats, cracks in the walls"
1000,service attentive and prompt
1001,they do not offer anything free
1002,crew were very pleasant
1003,don't have spare water
1004,seat was claustrophobic
1005,it did not disappoint me
1006,my worst experience in business class
1007,you would expect a better meal
1008,I will never fly BA again
1009,a miserable experience
1010,I end up with mix feelings
1011,at least a decade out of date
1012,has adopted the low cost airline mentality
1013,meals were served very slowly
1014,Boarding was disappointing
1015,so much for a full-service airline
1016,Bad service
1017,journey was very irritating
1018,Extremely dated aircraft
1019,food has noticeably improved
1020,really poor food
1021,crew very attentive
1022,Very satisfied with BA
1023,utterly appalling food
1024,I was very pleasantly surprised
1025,cabin staff polite and friendly
1026,first and last journey
1027,nothing good about BA anymore
1028,I was downgraded
1029,A very unpleasant experience
1030,BA did a good job
1031,have to pay for food and beverages
1032,given no notifications or help
1033,a flight with no problems
1034,no complimentary food or beverages
1035,good flight and service
1036,missed our connection in London
1037,Service was inattentive at best
1038,"if we want anything, get it yourself"
1039,British Airways is cutting corners
1040,policy is arbitrary and unfair
1041,Six hours before it was cancelled
1042,asked to pay extra to book specific seats
1043,My suitcase didn't arrive
1044,staff attitude so nonchalant
1045,pulling in the right direction
1046,British Airways is always a good choice
1047,impressed with level of service
1048,an awful experience
1049,full-service airline or low cost
1050,such a poor service
1051,should get behind out national carrier
1052,there's room for improvement
1053,used to be such a wonderful airline
1054,cabins are in need of refurbishment
1055,need to roll out promised changes
1056,British Airways customer review
1057,a terrible flight
1058,go with a budget airline
1059,I was pleasantly surprised
1060,BA is now as bad as Ryanair
1061,waiting on my luggage for five days
1062,I was sorely disappointed
1063,their staff is the best
1064,BA gets worse and worse
1065,don’t waste your money flying BA
1066,plane was very outdated
1067,worst business class I have flown
1068,The attendants were polite
1069,bad service with delayed luggage
1070,currently looking for the luggage
1071,Absolutely horrendous experience
1072,biggest disappointment was the cabin crew
1073,cancelled due to heavy snow
1074,I was very hungry throughout the service
1075,quite disappointed with my experience
1076,a poor economy class product
1077,no longer a full service airline
1078,"Lovely, friendly crew"
1079,morphing into a low-cost carrier
1080,used to include complimentary tea/sandwich
1081,little to complain about
1082,policy of charging to book a seat
1083,ground service was really poor
1084,the worst travel experience
1085,Noticeable cost cutting measures
1086,1st product is very mediocre
1087,sad experience from our national carrier
1088,BA quality is severely lacking
1089,fast and efficient service
1090,it’s just spiralling down
1091,new improvements are excellent
1092,"unreliable, unprofessional airline"
1093,pleasure to fly with a great airline
1094,One issue after another!
1095,BA needs to improve and fast
1096,check in my carry on luggage for free
1097,sad to see how BA service went down
1098,a no frills business class
1099,British Airways is seriously lacking
